sample,mpu1AccX,mpu1AccY,mpu1AccZ,mpu1GyrX,mpu1GyrY,mpu1GyrZ,mpu1Temp,mpu2AccX,mpu2AccY,mpu2AccZ,mpu2GyrX,mpu2GyrY,mpu2GyrZ,mpu2Temp,ds18b20One,ds18b20Two
37,-2.941,0.841,10.243,1.832,-3.176,2.13,15.92,-2.941,0.841,10.243,1.832,-3.176,2.13,15.92,15.92,15.92
38,0.692,-0.424,9.872,2.672,0.924,4.061,16.25,0.692,-0.424,9.872,2.672,0.924,4.061,16.25,16.25,16.25
39,-3.633,0.86,9.963,1.435,-0.55,1.328,15.92,-3.633,0.86,9.963,1.435,-0.55,1.328,15.92,15.92,15.92
40,-3.473,0.101,10.258,1.229,-3.282,2.588,16.25,-3.473,0.101,10.258,1.229,-3.282,2.588,16.25,16.25,16.25
41,-1.959,-0.922,10.682,-0.534,-1.496,3.84,16.15,-1.959,-0.922,10.682,-0.534,-1.496,3.84,16.15,16.15,16.15
42,1.272,-1.049,10.267,-0.366,2.221,2.26,16.39,1.272,-1.049,10.267,-0.366,2.221,2.26,16.39,16.39,16.39
43,2.29,-0.469,9.805,3.069,4.74,3.351,16.15,2.29,-0.469,9.805,3.069,4.74,3.351,16.15,16.15,16.15
44,-2.783,1.408,9.86,-3.076,1.634,-2.893,16.01,-2.783,1.408,9.86,-3.076,1.634,-2.893,16.01,16.01,16.01
45,2.146,-1.193,10.059,3.481,3.374,2.573,16.25,2.146,-1.193,10.059,3.481,3.374,2.573,16.25,16.25,16.25
46,-1.978,1.672,9.549,-2.16,3.015,-2.893,16.25,-1.978,1.672,9.549,-2.16,3.015,-2.893,16.25,16.25,16.25
47,1.712,-1.157,10.217,1.466,3.168,4.336,16.01,1.712,-1.157,10.217,1.466,3.168,4.336,16.01,16.01,16.01
48,2.256,0.508,9.846,0.931,5.053,-0.267,16.15,2.256,0.508,9.846,0.931,5.053,-0.267,16.15,16.15,16.15
49,-2.891,-0.544,10.421,-2.092,-3.084,1.115,16.01,-2.891,-0.544,10.421,-2.092,-3.084,1.115,16.01,16.01,16.01
50,-0.977,0.881,10.045,1.107,-1.237,-2.664,16.01,-0.977,0.881,10.045,1.107,-1.237,-2.664,16.01,16.01,16.01
51,-4.033,1.317,9.776,-3.374,1.634,-1.901,16.39,-4.033,1.317,9.776,-3.374,1.634,-1.901,16.39,16.39,16.39
52,-1.116,1.095,10.002,1.634,-1.351,-2.527,15.92,-1.116,1.095,10.002,1.634,-1.351,-2.527,15.92,15.92,15.92
53,-2.912,1.293,9.985,-2.267,2.977,-2.328,16.25,-2.912,1.293,9.985,-2.267,2.977,-2.328,16.25,16.25,16.25
54,2.771,0.742,9.611,3.313,4.901,-1.046,16.25,2.771,0.742,9.611,3.313,4.901,-1.046,16.25,16.25,16.25
55,-2.405,2.455,9.791,1.466,-0.374,-1.924,15.82,-2.405,2.455,9.791,1.466,-0.374,-1.924,15.82,15.82,15.82
56,0.177,0.055,10.514,3.863,-1.137,0.924,16.01,0.177,0.055,10.514,3.863,-1.137,0.924,16.01,16.01,16.01
57,0.798,0.663,9.549,3.954,4.527,1.74,16.15,0.798,0.663,9.549,3.954,4.527,1.74,16.15,16.15,16.15
58,-3.293,1.528,10.121,2.122,-1.656,2.71,16.15,-3.293,1.528,10.121,2.122,-1.656,2.71,16.15,16.15,16.15
59,1.382,-0.184,10.141,4.015,2.031,2.649,16.15,1.382,-0.184,10.141,4.015,2.031,2.649,16.15,16.15,16.15
60,-1.449,0.884,9.688,2.679,3.275,2.076,16.44,-1.449,0.884,9.688,2.679,3.275,2.076,16.44,16.44,16.44
61,-3.161,0.75,10.069,1.137,-2.076,3.153,16.25,-3.161,0.75,10.069,1.137,-2.076,3.153,16.25,16.25,16.25
62,2.855,-0.541,9.927,3.802,3.992,2.603,16.06,2.855,-0.541,9.927,3.802,3.992,2.603,16.06,16.06,16.06
63,-3.856,0.314,10.263,1.779,-0.435,2.008,16.01,-3.856,0.314,10.263,1.779,-0.435,2.008,16.01,16.01,16.01
64,-1.897,-0.898,10.514,0.542,-1.71,4.443,15.73,-1.897,-0.898,10.514,0.542,-1.71,4.443,15.73,15.73,15.73
65,1.578,-0.992,10.445,-0.038,3.534,3.015,16.06,1.578,-0.992,10.445,-0.038,3.534,3.015,16.06,16.06,16.06
66,-2.649,1.303,9.992,1.58,-2.885,2.168,16.01,-2.649,1.303,9.992,1.58,-2.885,2.168,16.01,16.01,16.01
67,-4.112,1.389,9.896,-3.916,-0.618,-2.023,16.25,-4.112,1.389,9.896,-3.916,-0.618,-2.023,16.25,16.25,16.25
68,1.296,0.316,9.429,-1.519,2.962,-0.305,16.06,1.296,0.316,9.429,-1.519,2.962,-0.305,16.06,16.06,16.06
69,-2.338,1.447,9.707,-1.84,4.786,-1.405,15.87,-2.338,1.447,9.707,-1.84,4.786,-1.405,15.87,15.87,15.87
70,0.457,-1.351,10.303,2.832,0.794,3.023,16.06,0.457,-1.351,10.303,2.832,0.794,3.023,16.06,16.06,16.06
71,1.523,0.163,9.968,-0.069,3.817,-0.878,16.25,1.523,0.163,9.968,-0.069,3.817,-0.878,16.25,16.25,16.25
72,-3.916,0.338,10.291,-1.557,-2.336,2.061,16.15,-3.916,0.338,10.291,-1.557,-2.336,2.061,16.15,16.15,16.15
73,1.217,0.587,9.939,-0.031,2.321,-0.901,16.06,1.217,0.587,9.939,-0.031,2.321,-0.901,16.06,16.06,16.06
74,-4.352,0.247,10.349,-2.916,-2.267,1.031,16.34,-4.352,0.247,10.349,-2.916,-2.267,1.031,16.34,16.34,16.34
75,-0.134,1.118,9.844,0.855,1.443,-0.618,16.01,-0.134,1.118,9.844,0.855,1.443,-0.618,16.01,16.01,16.01
76,-1.38,1.214,9.276,-2.191,5.74,-0.481,15.92,-1.38,1.214,9.276,-2.191,5.74,-0.481,15.92,15.92,15.92
77,-1.303,1.983,9.501,3.626,2.427,-2.252,16.06,-1.303,1.983,9.501,3.626,2.427,-2.252,16.06,16.06,16.06
78,0.845,0.299,10.471,3.573,-1.603,0.29,16.34,0.845,0.299,10.471,3.573,-1.603,0.29,16.34,16.34,16.34
79,2.34,0.172,9.889,4.618,5.534,2.031,16.06,2.34,0.172,9.889,4.618,5.534,2.031,16.06,16.06,16.06
80,-3.631,1.267,10.164,-2.137,-2.565,-3.046,16.25,-3.631,1.267,10.164,-2.137,-2.565,-3.046,16.25,16.25,16.25
81,0.134,-0.007,10.289,3.626,-0.115,2.305,16.34,0.134,-0.007,10.289,3.626,-0.115,2.305,16.34,16.34,16.34
82,0.551,0.268,9.673,3.313,4.824,3.046,16.25,0.551,0.268,9.673,3.313,4.824,3.046,16.25,16.25,16.25
83,-2.826,0.505,10.179,1.275,-2.389,3.023,16.15,-2.826,0.505,10.179,1.275,-2.389,3.023,16.15,16.15,16.15
84,2.388,-0.41,9.894,3.267,5.153,2.519,15.92,2.388,-0.41,9.894,3.267,5.153,2.519,15.92,15.92,15.92
85,-3.217,0.223,10.081,2.26,0.748,1.649,15.92,-3.217,0.223,10.081,2.26,0.748,1.649,15.92,15.92,15.92
86,1.526,-0.01,10.27,3.992,0.565,2.0,16.06,1.526,-0.01,10.27,3.992,0.565,2.0,16.06,16.06,16.06
87,1.353,-0.831,9.973,-0.061,4.229,2.763,16.25,1.353,-0.831,9.973,-0.061,4.229,2.763,16.25,16.25,16.25
88,2.429,-0.206,9.594,2.954,5.328,2.565,16.15,2.429,-0.206,9.594,2.954,5.328,2.565,16.15,16.15,16.15
89,-3.451,0.663,9.846,-1.893,3.344,0.481,16.15,-3.451,0.663,9.846,-1.893,3.344,0.481,16.15,16.15,16.15
90,2.225,-0.41,9.872,4.313,2.954,2.779,16.25,2.225,-0.41,9.872,4.313,2.954,2.779,16.25,16.25,16.25
91,-3.365,0.005,10.248,0.855,0.16,2.87,15.92,-3.365,0.005,10.248,0.855,0.16,2.87,15.92,15.92,15.92
92,-3.226,1.461,10.114,1.855,-2.504,2.244,16.01,-3.226,1.461,10.114,1.855,-2.504,2.244,16.01,16.01,16.01
93,2.297,-0.328,10.119,4.198,4.473,1.878,15.92,2.297,-0.328,10.119,4.198,4.473,1.878,15.92,15.92,15.92
94,-3.763,1.224,9.887,1.695,-2.023,2.252,16.39,-3.763,1.224,9.887,1.695,-2.023,2.252,16.39,16.39,16.39
95,1.995,-0.719,9.879,3.626,3.733,4.099,16.25,1.995,-0.719,9.879,3.626,3.733,4.099,16.25,16.25,16.25
96,-3.777,1.195,9.848,1.206,-0.969,1.71,16.15,-3.777,1.195,9.848,1.206,-0.969,1.71,16.15,16.15,16.15
97,-2.972,-0.386,10.478,1.588,-2.496,2.847,16.01,-2.972,-0.386,10.478,1.588,-2.496,2.847,16.01,16.01,16.01
98,1.686,-0.915,10.323,0.527,3.298,4.107,15.82,1.686,-0.915,10.323,0.527,3.298,4.107,15.82,15.82,15.82
99,-3.76,0.192,10.325,-1.26,-2.13,2.649,16.06,-3.76,0.192,10.325,-1.26,-2.13,2.649,16.06,16.06,16.06
100,0.069,-1.202,10.449,2.71,-0.29,3.0,16.01,0.069,-1.202,10.449,2.71,-0.29,3.0,16.01,16.01,16.01
101,-3.478,-0.141,10.299,1.473,-0.901,1.611,16.06,-3.478,-0.141,10.299,1.473,-0.901,1.611,16.06,16.06,16.06
102,-1.078,-0.668,10.426,-0.58,-1.084,4.321,15.92,-1.078,-0.668,10.426,-0.58,-1.084,4.321,15.92,15.92,15.92
103,-3.492,0.546,10.009,-0.718,1.023,2.214,16.25,-3.492,0.546,10.009,-0.718,1.023,2.214,16.25,16.25,16.25
104,-1.789,-0.795,10.548,-0.977,-2.687,1.992,16.06,-1.789,-0.795,10.548,-0.977,-2.687,1.992,16.06,16.06,16.06
105,-3.564,0.364,9.853,-2.122,2.366,1.069,15.92,-3.564,0.364,9.853,-2.122,2.366,1.069,15.92,15.92,15.92
106,-4.148,0.845,9.841,-2.557,-2.359,-1.321,16.15,-4.148,0.845,9.841,-2.557,-2.359,-1.321,16.15,16.15,16.15
107,-4.17,1.075,10.145,-2.099,-2.931,-2.267,16.01,-4.17,1.075,10.145,-2.099,-2.931,-2.267,16.01,16.01,16.01
108,-1.753,0.457,10.378,-1.527,-2.42,-2.565,16.39,-1.753,0.457,10.378,-1.527,-2.42,-2.565,16.39,16.39,16.39
109,1.763,0.319,9.578,-0.321,6.206,-0.252,16.06,1.763,0.319,9.578,-0.321,6.206,-0.252,16.06,16.06,16.06
110,-4.462,1.269,10.112,-2.847,-1.641,-4.023,16.15,-4.462,1.269,10.112,-2.847,-1.641,-4.023,16.15,16.15,16.15
111,-0.287,-0.496,10.018,1.305,4.771,3.061,16.06,-0.287,-0.496,10.018,1.305,4.771,3.061,16.06,16.06,16.06
112,-2.51,0.314,10.045,-2.321,-1.237,0.206,16.34,-2.51,0.314,10.045,-2.321,-1.237,0.206,16.34,16.34,16.34
113,-1.015,-0.958,10.435,1.885,-0.939,3.366,16.25,-1.015,-0.958,10.435,1.885,-0.939,3.366,16.25,16.25,16.25
114,-1.293,-0.022,10.061,0.924,3.733,2.893,16.01,-1.293,-0.022,10.061,0.924,3.733,2.893,16.01,16.01,16.01
115,-2.163,0.445,9.913,2.0,-2.221,2.87,16.06,-2.163,0.445,9.913,2.0,-2.221,2.87,16.06,16.06,16.06
116,0.321,0.362,9.719,3.168,5.481,2.153,15.92,0.321,0.362,9.719,3.168,5.481,2.153,15.92,15.92,15.92
117,-3.722,-0.22,10.569,1.214,-3.076,2.076,16.01,-3.722,-0.22,10.569,1.214,-3.076,2.076,16.01,16.01,16.01
118,-0.354,-0.992,10.502,-0.084,-0.718,3.359,16.06,-0.354,-0.992,10.502,-0.084,-0.718,3.359,16.06,16.06,16.06
119,1.492,-0.91,10.227,0.038,5.221,2.863,16.15,1.492,-0.91,10.227,0.038,5.221,2.863,16.15,16.15,16.15
120,-3.844,-0.285,10.346,-2.275,-2.397,1.107,16.06,-3.844,-0.285,10.346,-2.275,-2.397,1.107,16.06,16.06,16.06
121,1.657,-0.263,9.662,-1.237,4.42,0.992,16.25,1.657,-0.263,9.662,-1.237,4.42,0.992,16.25,16.25,16.25
122,-3.602,0.893,9.853,-3.42,-2.328,-2.176,15.92,-3.602,0.893,9.853,-3.42,-2.328,-2.176,15.92,15.92,15.92
123,0.127,0.117,10.133,-0.794,1.504,-0.756,16.15,0.127,0.117,10.133,-0.794,1.504,-0.756,16.15,16.15,16.15
124,0.666,0.366,10.212,-0.16,1.908,-1.382,15.92,0.666,0.366,10.212,-0.16,1.908,-1.382,15.92,15.92,15.92
125,-0.29,2.218,9.623,-0.298,5.427,-2.13,16.06,-0.29,2.218,9.623,-0.298,5.427,-2.13,16.06,16.06,16.06
126,0.271,0.951,9.908,-0.779,-1.252,-1.26,16.01,0.271,0.951,9.908,-0.779,-1.252,-1.26,16.01,16.01,16.01
127,2.591,1.106,9.633,2.458,6.786,-1.74,16.25,2.591,1.106,9.633,2.458,6.786,-1.74,16.25,16.25,16.25
128,-1.727,1.375,10.083,1.176,-1.969,-2.611,16.25,-1.727,1.375,10.083,1.176,-1.969,-2.611,16.25,16.25,16.25
129,-1.799,0.661,10.461,3.641,-2.069,0.435,16.2,-1.799,0.661,10.461,3.641,-2.069,0.435,16.2,16.2,16.2
130,0.778,0.91,9.65,4.061,5.084,2.084,16.39,0.778,0.91,9.65,4.061,5.084,2.084,16.39,16.39,16.39
131,-1.787,0.81,10.205,1.458,-2.405,2.45,16.06,-1.787,0.81,10.205,1.458,-2.405,2.45,16.06,16.06,16.06
132,1.348,0.479,9.779,4.412,5.099,2.924,16.06,1.348,0.479,9.779,4.412,5.099,2.924,16.06,16.06,16.06
133,-3.995,1.277,9.824,1.435,-3.221,3.084,15.92,-3.995,1.277,9.824,1.435,-3.221,3.084,15.92,15.92,15.92
134,2.079,-0.778,9.915,4.328,4.702,3.87,16.15,2.079,-0.778,9.915,4.328,4.702,3.87,16.15,16.15,16.15
135,-3.767,1.044,9.769,1.206,-1.084,1.832,16.01,-3.767,1.044,9.769,1.206,-1.084,1.832,16.01,16.01,16.01
136,2.52,-0.453,9.966,3.603,2.282,3.046,16.15,2.52,-0.453,9.966,3.603,2.282,3.046,16.15,16.15,16.15
137,-3.43,-0.172,10.457,1.466,0.107,2.206,16.06,-3.43,-0.172,10.457,1.466,0.107,2.206,16.06,16.06,16.06
138,0.311,-1.358,10.435,1.038,0.847,4.061,16.06,0.311,-1.358,10.435,1.038,0.847,4.061,16.06,16.06,16.06
139,1.581,-0.508,10.069,0.092,4.511,3.359,16.25,1.581,-0.508,10.069,0.092,4.511,3.359,16.25,16.25,16.25
140,-3.164,0.774,9.657,-2.863,2.557,-0.87,16.06,-3.164,0.774,9.657,-2.863,2.557,-0.87,16.06,16.06,16.06
141,1.178,-0.438,9.75,-1.336,3.344,1.282,16.15,1.178,-0.438,9.75,-1.336,3.344,1.282,16.15,16.15,16.15
142,-1.897,1.636,9.477,-2.481,4.534,-1.87,16.06,-1.897,1.636,9.477,-2.481,4.534,-1.87,16.06,16.06,16.06
143,1.049,0.081,9.762,-0.771,0.328,-0.473,15.92,1.049,0.081,9.762,-0.771,0.328,-0.473,15.92,15.92,15.92
144,1.015,1.049,9.513,-1.321,6.237,-1.557,15.73,1.015,1.049,9.513,-1.321,6.237,-1.557,15.73,15.73,15.73
145,-1.171,0.46,10.143,-0.832,-1.634,-2.046,16.25,-1.171,0.46,10.143,-0.832,-1.634,-2.046,16.25,16.25,16.25
146,1.624,0.881,9.669,0.382,5.954,-0.992,16.15,1.624,0.881,9.669,0.382,5.954,-0.992,16.15,16.15,16.15
147,1.844,1.794,9.58,1.809,5.595,-1.29,16.06,1.844,1.794,9.58,1.809,5.595,-1.29,16.06,16.06,16.06
148,-2.397,2.558,9.604,0.214,1.618,-3.191,15.87,-2.397,2.558,9.604,0.214,1.618,-3.191,15.87,15.87,15.87
149,-2.563,1.358,9.951,3.534,-0.061,-0.733,16.25,-2.563,1.358,9.951,3.534,-0.061,-0.733,16.25,16.25,16.25
150,-3.001,1.736,9.647,1.84,-0.229,1.252,15.92,-3.001,1.736,9.647,1.84,-0.229,1.252,15.92,15.92,15.92
151,1.209,-0.115,10.251,3.489,1.191,3.405,16.15,1.209,-0.115,10.251,3.489,1.191,3.405,16.15,16.15,16.15
152,-3.092,1.159,9.92,2.328,1.282,1.664,16.15,-3.092,1.159,9.92,2.328,1.282,1.664,16.15,16.15,16.15
153,0.733,-0.453,9.935,2.397,-0.092,3.817,15.92,0.733,-0.453,9.935,2.397,-0.092,3.817,15.92,15.92,15.92
154,-0.093,0.776,9.772,2.359,3.847,1.275,16.15,-0.093,0.776,9.772,2.359,3.847,1.275,16.15,16.15,16.15
155,-1.358,-0.307,10.351,2.756,-2.237,1.969,16.06,-1.358,-0.307,10.351,2.756,-2.237,1.969,16.06,16.06,16.06
156,0.012,-0.414,10.21,2.702,5.13,1.779,16.06,0.012,-0.414,10.21,2.702,5.13,1.779,16.06,16.06,16.06
157,-2.292,-0.776,10.624,0.015,-2.924,3.824,16.01,-2.292,-0.776,10.624,0.015,-2.924,3.824,16.01,16.01,16.01
158,1.849,-0.819,10.208,0.916,5.405,3.298,16.15,1.849,-0.819,10.208,0.916,5.405,3.298,16.15,16.15,16.15
159,-4.024,0.364,10.387,-1.901,-2.168,2.26,15.82,-4.024,0.364,10.387,-1.901,-2.168,2.26,15.82,15.82,15.82
160,-2.45,1.353,9.53,-3.198,2.481,-1.626,16.06,-2.45,1.353,9.53,-3.198,2.481,-1.626,16.06,16.06,16.06
161,-4.002,0.922,9.841,-3.885,0.786,-1.412,16.06,-4.002,0.922,9.841,-3.885,0.786,-1.412,16.06,16.06,16.06
162,0.635,0.125,9.724,-1.863,0.534,-0.458,16.34,0.635,0.125,9.724,-1.863,0.534,-0.458,16.34,16.34,16.34
163,-1.329,1.466,9.539,-2.71,3.969,-2.046,16.15,-1.329,1.466,9.539,-2.71,3.969,-2.046,16.15,16.15,16.15
164,-1.377,0.228,10.313,-1.779,-2.0,-2.725,16.25,-1.377,0.228,10.313,-1.779,-2.0,-2.725,16.25,16.25,16.25
165,1.442,0.752,9.626,-0.878,6.038,-1.298,16.25,1.442,0.752,9.626,-0.878,6.038,-1.298,16.25,16.25,16.25
166,-3.906,1.042,10.37,-1.847,-2.695,-3.763,16.25,-3.906,1.042,10.37,-1.847,-2.695,-3.763,16.25,16.25,16.25
167,2.251,0.8,9.817,0.16,5.466,-0.855,16.06,2.251,0.8,9.817,0.16,5.466,-0.855,16.06,16.06,16.06
168,-4.052,2.486,9.52,-1.985,-1.267,-2.924,16.25,-4.052,2.486,9.52,-1.985,-1.267,-2.924,16.25,16.25,16.25
169,1.502,0.647,9.769,2.031,2.763,-0.45,15.92,1.502,0.647,9.769,2.031,2.763,-0.45,15.92,15.92,15.92
170,-3.147,2.244,9.824,0.534,1.427,-3.763,16.06,-3.147,2.244,9.824,0.534,1.427,-3.763,16.06,16.06,16.06
171,-0.508,-0.639,10.428,-1.046,-1.16,2.466,16.2,-0.508,-0.639,10.428,-1.046,-1.16,2.466,16.2,16.2,16.2
172,-2.021,0.56,10.114,-2.534,-2.107,-1.481,16.06,-2.021,0.56,10.114,-2.534,-2.107,-1.481,16.06,16.06,16.06
173,0.242,0.829,9.678,-1.954,5.015,-1.847,16.06,0.242,0.829,9.678,-1.954,5.015,-1.847,16.06,16.06,16.06
174,-0.532,0.12,10.006,-1.0,-2.122,-1.55,16.01,-0.532,0.12,10.006,-1.0,-2.122,-1.55,16.01,16.01,16.01
175,-2.208,1.722,9.489,-1.565,4.397,-2.802,15.92,-2.208,1.722,9.489,-1.565,4.397,-2.802,15.92,15.92,15.92
176,-0.881,0.304,10.2,-0.305,-0.153,-2.412,16.34,-0.881,0.304,10.2,-0.305,-0.153,-2.412,16.34,16.34,16.34
177,-1.159,1.82,9.745,-1.634,3.802,-3.817,16.34,-1.159,1.82,9.745,-1.634,3.802,-3.817,16.34,16.34,16.34
178,1.408,0.414,10.402,-0.198,0.618,-1.641,16.01,1.408,0.414,10.402,-0.198,0.618,-1.641,16.01,16.01,16.01
179,-3.104,2.294,9.793,-1.977,1.878,-2.763,16.06,-3.104,2.294,9.793,-1.977,1.878,-2.763,16.06,16.06,16.06
180,0.592,0.58,10.016,0.679,1.275,0.046,16.34,0.592,0.58,10.016,0.679,1.275,0.046,16.34,16.34,16.34
181,2.658,0.635,9.513,2.924,4.328,-1.618,16.06,2.658,0.635,9.513,2.924,4.328,-1.618,16.06,16.06,16.06
182,-2.845,1.952,9.786,1.29,-2.496,-2.336,16.34,-2.845,1.952,9.786,1.29,-2.496,-2.336,16.34,16.34,16.34
183,1.032,0.395,10.05,3.733,1.901,-0.466,16.25,1.032,0.395,10.05,3.733,1.901,-0.466,16.25,16.25,16.25
184,1.581,0.263,10.253,3.84,2.389,3.794,16.06,1.581,0.263,10.253,3.84,2.389,3.794,16.06,16.06,16.06
185,-0.422,1.042,9.709,3.298,4.038,1.412,15.82,-0.422,1.042,9.709,3.298,4.038,1.412,15.82,15.82,15.82
186,0.786,-0.208,10.423,3.145,-0.374,3.023,16.25,0.786,-0.208,10.423,3.145,-0.374,3.023,16.25,16.25,16.25
187,1.602,-0.29,9.803,3.542,5.557,3.038,16.15,1.602,-0.29,9.803,3.542,5.557,3.038,16.15,16.15,16.15
188,-1.993,0.304,10.083,2.16,-1.595,3.176,16.06,-1.993,0.304,10.083,2.16,-1.595,3.176,16.06,16.06,16.06
189,2.194,-0.453,10.073,3.695,4.931,3.237,16.06,2.194,-0.453,10.073,3.695,4.931,3.237,16.06,16.06,16.06
190,-1.756,-0.484,10.636,2.252,-3.061,2.084,16.06,-1.756,-0.484,10.636,2.252,-3.061,2.084,16.06,16.06,16.06
191,1.581,-0.97,10.267,0.84,3.443,4.58,16.01,1.581,-0.97,10.267,0.84,3.443,4.58,16.01,16.01,16.01
192,-0.268,0.074,9.925,-0.191,5.405,1.649,15.92,-0.268,0.074,9.925,-0.191,5.405,1.649,15.92,15.92,15.92
193,-4.555,0.465,10.073,-2.733,-2.794,0.008,16.06,-4.555,0.465,10.073,-2.733,-2.794,0.008,16.06,16.06,16.06
194,1.427,-0.067,9.525,-2.183,5.366,1.412,16.15,1.427,-0.067,9.525,-2.183,5.366,1.412,16.15,16.15,16.15
195,-4.208,1.13,10.047,-2.962,-1.45,-2.336,16.01,-4.208,1.13,10.047,-2.962,-1.45,-2.336,16.01,16.01,16.01
